dtype,features,solver,same_random_realization_across_dtypes,sigma_max_svd64,sigma_min_svd64,condition_A_svd64,log10_condition_A_svd64,condition_AtA_theoretical,numerical_rank_svd64,svd_condition_time_s,relative_L2,relative_residual,beta_norm,solve_time_s_diagnostic,status
float32,100,lstsq,True,5115.98174776641,0.5821856467127003,8787.543589667142,3.9438674923044044,77220922.34030008,100,4.5239702691324055,1.812057614326477,0.24621763825416565,1621.234619140625,0.07106176298111677,ok
float32,100,qr,True,5115.98174776641,0.5821856467127003,8787.543589667142,3.9438674923044044,77220922.34030008,100,4.5239702691324055,1.8120478391647339,0.24621763825416565,1621.2347412109375,0.007985854987055063,ok
float32,100,normal,True,5115.98174776641,0.5821856467127003,8787.543589667142,3.9438674923044044,77220922.34030008,100,4.5239702691324055,2.0588510036468506,0.24708954989910126,1730.2843017578125,0.00806338433176279,ok
float32,100,ridge_1e-12,True,5115.98174776641,0.5821856467127003,8787.543589667142,3.9438674923044044,77220922.34030008,100,4.5239702691324055,2.0588510036468506,0.24708954989910126,1730.2843017578125,0.0006222957745194435,ok
float32,100,ridge_1e-08,True,5115.98174776641,0.5821856467127003,8787.543589667142,3.9438674923044044,77220922.34030008,100,4.5239702691324055,2.057292938232422,0.24708054959774017,1729.3675537109375,0.0004695341922342777,ok
float64,100,lstsq,True,5115.98174776641,0.5821856467127003,8787.543589667142,3.9438674923044044,77220922.34030008,100,4.5239702691324055,1.812085976070574,0.2462176708714343,1621.2374449242636,0.012183246202766895,ok
float64,100,qr,True,5115.98174776641,0.5821856467127003,8787.543589667142,3.9438674923044044,77220922.34030008,100,4.5239702691324055,1.8120859760706187,0.24621767087143445,1621.2374449242632,0.002240403089672327,ok
float64,100,normal,True,5115.98174776641,0.5821856467127003,8787.543589667142,3.9438674923044044,77220922.34030008,100,4.5239702691324055,1.8120859762315942,0.24621767087143442,1621.2374452461381,0.0009457999840378761,ok
float64,100,ridge_1e-12,True,5115.98174776641,0.5821856467127003,8787.543589667142,3.9438674923044044,77220922.34030008,100,4.5239702691324055,1.812085361167434,0.24621767087146923,1621.236371728978,0.0007615508511662483,ok
float64,100,ridge_1e-08,True,5115.98174776641,0.5821856467127003,8787.543589667142,3.9438674923044044,77220922.34030008,100,4.5239702691324055,1.8060722889629512,0.2462210596229455,1610.684507424706,0.0006698113866150379,ok
