method,q_in,c_in_over_c_out,relative_L2_mean,relative_L2_std,relative_L2_min,relative_L2_max,n_seeds
global_RF,1.0,1.0,0.0023258972987653163,0.00034229657488120304,0.0019447282056755798,0.002607033140332752,3
global_RF,0.64,0.8,0.12240387914093802,0.00099360602086021,0.12128074687715729,0.12316838211825261,3
global_RF,0.36,0.6,0.17538339328528554,0.00016879217035145516,0.17528251425467645,0.17557825704599053,3
global_RF,0.25,0.5,0.2092773165620051,0.0006147553816181177,0.20863061970474664,0.20985416363034953,3
global_RF,0.16,0.4,0.25618091961917017,0.002678514794758975,0.25363422482962295,0.25897420146727146,3
partitioned_interface_RF,1.0,1.0,0.015045681721905915,0.003361938300003999,0.012193882229029842,0.018752602922069806,3
partitioned_interface_RF,0.64,0.8,0.014708200588304571,0.003083540496653007,0.012048127845751615,0.018087927606421243,3
partitioned_interface_RF,0.36,0.6,0.014179420700501787,0.0030143092869834,0.01161448284048269,0.017499506083201798,3
partitioned_interface_RF,0.25,0.5,0.013847344069946976,0.0030456040821868263,0.01124751412255505,0.017198202097195654,3
partitioned_interface_RF,0.16,0.4,0.012684001529074984,0.002784446498269376,0.01023886725435695,0.015714642527113902,3
